"","ID","TERRIT","TERRIT_NAME","STUDY_AREA","X","Y","habitat_hunting","habitat_forest","habitat_urban","biotic_annoyance","prey_abund_preferred","prey_abund_total","prey_supply","prey_supply_mass","breed_perform_init","breed_perform_final","breed_perform","breed_perform_pheno","adult_qual_timenest","adult_qual_timeterrmale","adult_qual_timeterrfem"
"1","2Co02",17,"Mojadura","Zona de Miguel",537122,4700363,-0.515748403285022,0.799128524281874,-0.591630342315168,-0.399266591420876,-0.389470805674559,-0.460884147516183,0.819098807235734,0.3414631191947,-0.961516789179654,-0.447147109706815,0.463544460841515,-0.886205462919362,-2.11660213252912,-1.29644690207676,-1.65144656241165
"2","2co09",17,"Mojadura","Zona de Miguel",537186,4700271,-0.31475220586376,0.641871191985003,-0.379841915717696,-0.399266591420876,-0.355440385158211,-0.430488101956815,1.17475101403023,0.705322931809713,-0.282799055652088,-0.447147109706815,-0.424530709221691,-0.750386539931038,0.393865310109869,-0.8007717516453,0.65517407617086
"3","2P04",28,"Vilarchan","Zona de Miguel",536242,4696553,0.513517444420643,-0.038954027238965,0.537061069205508,0.474599910556891,0.909768712761756,1.4757845304263,0.0478048665851804,0.0265217689775739,0.395918677875478,0.692832334820449,0.463544460841515,0.381437818305002,-0.704464196062343,0.487983639476485,0.65517407617086
"4","2P12",14,"Marcon","Zona de Miguel",532506,4694607,-0.878861488512519,1.06245985319883,-0.946282890790218,-0.83619984240976,-0.3066547525642,-0.183888358252268,1.23259805898513,0.745664272744913,0.395918677875478,0.692832334820449,0.463544460841515,-0.52402166828383,0.707673740404439,-0.8007717516453,0.921322611391919
"5","2P13",29,"Villar","Zona de Miguel",533021,4691256,-0.97674893319177,1.13344758940528,-1.04188955750523,-0.83619984240976,-0.95738249913093,-0.814840918338193,-0.0601762851490897,0.0908839441968709,0.395918677875478,0.692832334820449,0.463544460841515,1.10580540757607,0.425246153111083,0.487983639476485,0.65517407617086
"6","2p15",26,"San Cibran","Zona de Miguel",530906,4696068,3.36301112574519,-2.02107327150933,3.20654909465326,2.22233291451243,3.39631147674542,3.13750556693213,-2.17533649220516,-1.99638270365672,0.395918677875478,-1.58712655423408,-2.49670610603584,-0.433475719624946,-0.88098143812069,-2.08952714276708,0.65517407617086
"7","2p26",28,"Vilarchan","Zona de Miguel",536387,4698136,-0.238922423978422,0.598367642310326,-0.321254409749485,-0.399266591420876,0.25474179486001,0.399838412762808,0.58771062525653,0.0189142091863274,0.395918677875478,-2.72710599876134,-3.97683138947452,-0.795659514260479,-0.704464196062343,0.487983639476485,0.65517407617086
"8","2p28",14,"Marcon","Zona de Miguel",532527,4694646,-0.840931889659814,1.03495281016109,-0.909237051785765,-0.399266591420876,-0.246490836913987,-0.112575741268621,1.12761638392788,0.720449589158043,1.75335414493061,0.692832334820449,-0.646549501737493,-0.25238382230718,0.707673740404439,0.686253699649067,1.01003878979894
"9","2PC02",10,"Gradin","Zona de Miguel",540434,4695425,-1.34427859369006,1.39998797175882,-1.40085577502456,-0.83619984240976,-0.535028178588259,0.0563595919978119,0.58771062525653,-0.420540530313906,-0.961516789179654,-0.447147109706815,0.463544460841515,-0.52402166828383,0.194169036286051,0.487983639476485,0.65517407617086
"10","2s09",30,"Vixo","Zona de Miguel",533168,4686705,1.3625126410757,-0.563014090927706,1.24286721005642,0.911533161545774,1.40440869574309,1.34405123386333,0.404171233721963,-0.303091124029571,1.30087565636471,1.07282548261621,0.0598739282239598,0.502165746831981,0.573184413175684,0.487983639476485,-0.882573016454053
